,filename,country_positive_percent,country_negative_percent,country_indeterminate_percent,country_positives,country_negatives,country_indeterminates,city_positive_percent,city_negative_percent,city_indeterminate_percent,city_positives,city_negatives,city_indeterminates
0,statistics_validation_anycast_udp_cloudfare_20230529_2.csv,58.2089552238806,11.940298507462686,29.850746268656714,39,8,20,56.71641791044776,11.940298507462686,31.343283582089555,38,8,21
1,statistics_validation_anycast_udp_cloudfare_20230525_0_no_check_multi_ip.csv,84.05797101449275,5.797101449275362,10.144927536231885,58,4,7,81.15942028985508,8.695652173913043,10.144927536231885,56,6,7
2,statistics_validation_unicast_udp_ripe_20230531_1.csv,20.698924731182796,1.6129032258064515,77.68817204301075,77,6,289,6.451612903225806,5.376344086021505,88.17204301075269,24,20,328
3,statistics_validation_anycast_udp_cloudfare_20230529_2_no_check_multi_ip_target.csv,67.16417910447761,16.417910447761194,16.417910447761194,45,11,11,65.67164179104478,16.417910447761194,17.91044776119403,44,11,12
4,statistics_validation_unicast_udp_ripe_20230531_1_no_check_multi_ip_target.csv,26.344086021505376,3.763440860215054,69.89247311827957,98,14,260,9.13978494623656,8.333333333333332,82.52688172043011,34,31,307
5,statistics_validation_anycast_udp_cloudfare_20230530_3_no_check_multi_ip_last_hop.csv,65.21739130434783,2.898550724637681,31.88405797101449,45,2,22,65.21739130434783,2.898550724637681,31.88405797101449,45,2,22
6,statistics_validation_unicast_udp_ripe_20230531_0_no_check_multi_ip_last_hop.csv,27.42616033755274,2.320675105485232,70.25316455696202,130,11,333,9.071729957805907,7.383966244725738,83.54430379746836,43,35,396
7,statistics_validation_anycast_udp_cloudfare_20230530_3_no_check_multi_ip.csv,79.71014492753623,5.797101449275362,14.492753623188406,55,4,10,79.71014492753623,5.797101449275362,14.492753623188406,55,4,10
8,statistics_validation_unicast_udp_ripe_20230531_0_no_check_multi_ip.csv,36.91983122362869,2.9535864978902953,60.12658227848101,175,14,285,11.60337552742616,10.548523206751055,77.84810126582279,55,50,369
9,statistics_validation_anycast_udp_cloudfare_20230529_1_no_check_multi_ip_target.csv,52.94117647058824,27.941176470588236,19.11764705882353,36,19,13,52.94117647058824,27.941176470588236,19.11764705882353,36,19,13
10,statistics_validation_anycast_udp_cloudfare_20230529_1.csv,48.529411764705884,23.52941176470588,27.941176470588236,33,16,19,48.529411764705884,23.52941176470588,27.941176470588236,33,16,19
