sum_error,avg_error,probe_selection,probe_set_number,distance_function,threshold,alpha,104.16.123.96,192.112.36.4,192.203.230.10,192.33.4.12,192.36.148.17,192.5.5.241,192.58.128.30,193.0.14.129,198.41.0.4,198.97.190.53,199.7.83.42,199.7.91.13,199.9.14.201,202.12.27.33
1.505952380952381,0.10756802721088435,area,500,constant_1.52,1,0,0.0,0.0,0.125,0.0,0.16666666666666663,0.0714285714285714,0.0,0.1428571428571429,0.0,0.0,0.0,0.0,0.5,0.5
1.5110896279970614,0.10793497342836153,area,500,constant_1.52,5,0.9,0.0,0.0,0.040000000000000036,0.0,0.125,0.06451612903225801,0.05555555555555558,0.11111111111111116,0.0,0.0,0.0714285714285714,0.04347826086956519,0.5,0.5
1.5110896279970614,0.10793497342836153,area,500,constant_1.52,5,0.8,0.0,0.0,0.040000000000000036,0.0,0.125,0.06451612903225801,0.05555555555555558,0.11111111111111116,0.0,0.0,0.0714285714285714,0.04347826086956519,0.5,0.5
1.5114468864468864,0.1079604918890633,area,500,constant_1.52,1,0.2,0.0,0.0,0.125,0.0,0.16666666666666663,0.07692307692307676,0.0,0.1428571428571429,0.0,0.0,0.0,0.0,0.5,0.5
1.541468253968254,0.11010487528344672,area,1000,constant_1.52,1,0.3,0.0714285714285714,0.0,0.09999999999999998,0.0,0.0,0.11111111111111116,0.0714285714285714,0.0,0.0,0.0,0.125,0.0625,0.5,0.5
1.541468253968254,0.11010487528344672,area,1000,constant_1.52,1,0.2,0.0714285714285714,0.0,0.09999999999999998,0.0,0.0,0.11111111111111116,0.0714285714285714,0.0,0.0,0.0,0.125,0.0625,0.5,0.5
1.5545678888666266,0.11104056349047332,area,500,constant_1.52,5,0.7,0.0,0.0,0.040000000000000036,0.0,0.125,0.06451612903225801,0.05555555555555558,0.11111111111111116,0.0,0.0,0.0714285714285714,0.08695652173913038,0.5,0.5
1.556334792189594,0.11116677087068529,area,500,constant_1.52,5,1,0.0,0.0,0.038461538461538436,0.0,0.125,0.06451612903225801,0.05555555555555558,0.1578947368421053,0.0,0.0,0.0714285714285714,0.04347826086956519,0.5,0.5
1.5587811013039845,0.11134150723599891,area,500,constant_1.52,30,0.9,0.0,0.0,0.040000000000000036,0.0,0.125,0.0625,0.10526315789473684,0.11111111111111116,0.0,0.0,0.0714285714285714,0.04347826086956519,0.5,0.5
1.5587811013039845,0.11134150723599891,area,500,constant_1.52,30,0.8,0.0,0.0,0.040000000000000036,0.0,0.125,0.0625,0.10526315789473684,0.11111111111111116,0.0,0.0,0.0714285714285714,0.04347826086956519,0.5,0.5
1.5587811013039845,0.11134150723599891,area,500,constant_1.52,20,0.9,0.0,0.0,0.040000000000000036,0.0,0.125,0.0625,0.10526315789473684,0.11111111111111116,0.0,0.0,0.0714285714285714,0.04347826086956519,0.5,0.5
