	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
26	192.36.148.17	North-Central_100	0.0	-1	0	0.21875	0.4666666666666667	0.2916666666666667	0.35897435897435903	7	8	0	17
39	192.36.148.17	North-Central_100	0.1	-1	0	0.3448275862068966	0.6666666666666666	0.4166666666666667	0.5128205128205129	10	5	0	14
24	192.36.148.17	North-Central_100	0.2	-1	0	0.3448275862068966	0.6666666666666666	0.4166666666666667	0.5128205128205129	10	5	0	14
27	192.36.148.17	North-Central_100	0.3	-1	0	0.3448275862068966	0.6666666666666666	0.4166666666666667	0.5128205128205129	10	5	0	14
18	192.36.148.17	North-Central_100	0.4	-1	0	0.35714285714285715	0.7142857142857143	0.4166666666666667	0.5263157894736842	10	4	0	14
23	192.36.148.17	North-Central_100	0.5	-1	0	0.4074074074074074	0.7857142857142857	0.4583333333333333	0.5789473684210527	11	3	0	13
28	192.36.148.17	North-Central_100	0.6	-1	0	0.4074074074074074	0.7857142857142857	0.4583333333333333	0.5789473684210527	11	3	0	13
41	192.36.148.17	North-Central_100	0.7	-1	0	0.4074074074074074	0.7857142857142857	0.4583333333333333	0.5789473684210527	11	3	0	13
37	192.36.148.17	North-Central_100	0.8	-1	0	0.4074074074074074	0.7857142857142857	0.4583333333333333	0.5789473684210527	11	3	0	13
1	192.36.148.17	North-Central_100	0.9	-1	0	0.4074074074074074	0.7857142857142857	0.4583333333333333	0.5789473684210527	11	3	0	13
40	192.36.148.17	North-Central_100	1.0	-1	0	0.4074074074074074	0.7857142857142857	0.4583333333333333	0.5789473684210527	11	3	0	13
3	192.36.148.17	North-Central_1000	0.0	-1	0	0.5	0.5238095238095238	0.9166666666666666	0.6666666666666667	22	20	0	2
32	192.36.148.17	North-Central_1000	0.1	-1	0	0.4666666666666667	0.5	0.875	0.6363636363636364	21	21	0	3
13	192.36.148.17	North-Central_1000	0.2	-1	0	0.4666666666666667	0.5	0.875	0.6363636363636364	21	21	0	3
30	192.36.148.17	North-Central_1000	0.3	-1	0	0.4772727272727273	0.5121951219512195	0.875	0.6461538461538462	21	20	0	3
4	192.36.148.17	North-Central_1000	0.4	-1	0	0.5	0.5238095238095238	0.9166666666666666	0.6666666666666667	22	20	0	2
8	192.36.148.17	North-Central_1000	0.5	-1	0	0.5	0.5238095238095238	0.9166666666666666	0.6666666666666667	22	20	0	2
34	192.36.148.17	North-Central_1000	0.6	-1	0	0.5	0.5238095238095238	0.9166666666666666	0.6666666666666667	22	20	0	2
21	192.36.148.17	North-Central_1000	0.7	-1	0	0.5	0.5238095238095238	0.9166666666666666	0.6666666666666667	22	20	0	2
15	192.36.148.17	North-Central_1000	0.8	-1	0	0.5	0.5238095238095238	0.9166666666666666	0.6666666666666667	22	20	0	2
29	192.36.148.17	North-Central_1000	0.9	-1	0	0.5	0.5238095238095238	0.9166666666666666	0.6666666666666667	22	20	0	2
20	192.36.148.17	North-Central_1000	1.0	-1	0	0.4888888888888889	0.5116279069767442	0.9166666666666666	0.6567164179104478	22	21	0	2
19	192.36.148.17	North-Central_300	0.0	-1	0	0.4117647058823529	0.56	0.6086956521739131	0.5833333333333334	14	11	0	9
16	192.36.148.17	North-Central_300	0.1	-1	0	0.37142857142857144	0.52	0.5652173913043478	0.5416666666666667	13	12	0	10
0	192.36.148.17	North-Central_300	0.2	-1	0	0.4117647058823529	0.56	0.6086956521739131	0.5833333333333334	14	11	0	9
7	192.36.148.17	North-Central_300	0.3	-1	0	0.4117647058823529	0.56	0.6086956521739131	0.5833333333333334	14	11	0	9
