	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
1	192.203.230.10	North-Central-section_1	1	-1.0	0	0.4722222222222222	0.8095238095238095	0.53125	0.6415094339622642	34	8	0	30
7	192.203.230.10	North-Central-section_1	1	1.0	0	0.13043478260869565	0.6428571428571429	0.140625	0.23076923076923078	9	5	0	55
11	192.203.230.10	North-Central-section_1	1	5.0	0	0.4788732394366197	0.8292682926829268	0.53125	0.6476190476190476	34	7	0	30
15	192.203.230.10	North-Central-section_1	1	10.0	0	0.4722222222222222	0.8095238095238095	0.53125	0.6415094339622642	34	8	0	30
14	192.203.230.10	North-Central-section_1	1	20.0	0	0.4722222222222222	0.8095238095238095	0.53125	0.6415094339622642	34	8	0	30
5	192.203.230.10	North-Central-section_1	1	30.0	0	0.4722222222222222	0.8095238095238095	0.53125	0.6415094339622642	34	8	0	30
12	192.203.230.10	North-Central-section_1.5	1	-1.0	0	0.44285714285714284	0.8857142857142857	0.4696969696969697	0.6138613861386139	31	4	0	35
8	192.203.230.10	North-Central-section_1.5	1	1.0	0	0.08823529411764706	0.75	0.09090909090909091	0.16216216216216214	6	2	0	60
10	192.203.230.10	North-Central-section_1.5	1	5.0	0	0.4264705882352941	0.9354838709677419	0.4393939393939394	0.5979381443298969	29	2	0	37
0	192.203.230.10	North-Central-section_1.5	1	10.0	0	0.42857142857142855	0.8823529411764706	0.45454545454545453	0.6	30	4	0	36
9	192.203.230.10	North-Central-section_1.5	1	20.0	0	0.42857142857142855	0.8823529411764706	0.45454545454545453	0.6	30	4	0	36
3	192.203.230.10	North-Central-section_1.5	1	30.0	0	0.44285714285714284	0.8857142857142857	0.4696969696969697	0.6138613861386139	31	4	0	35
4	192.203.230.10	North-Central-section_2	1	-1.0	0	0.43478260869565216	0.9090909090909091	0.45454545454545453	0.6060606060606061	30	3	0	36
16	192.203.230.10	North-Central-section_2	1	1.0	0	0.07462686567164178	0.8333333333333334	0.07575757575757576	0.1388888888888889	5	1	0	61
17	192.203.230.10	North-Central-section_2	1	5.0	0	0.36231884057971014	0.8928571428571429	0.3787878787878788	0.5319148936170213	25	3	0	41
2	192.203.230.10	North-Central-section_2	1	10.0	0	0.42028985507246375	0.90625	0.4393939393939394	0.5918367346938775	29	3	0	37
6	192.203.230.10	North-Central-section_2	1	20.0	0	0.43478260869565216	0.9090909090909091	0.45454545454545453	0.6060606060606061	30	3	0	36
13	192.203.230.10	North-Central-section_2	1	30.0	0	0.43478260869565216	0.9090909090909091	0.45454545454545453	0.6060606060606061	30	3	0	36
