	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
37	192.33.4.12	North-Central_100	0.0	-1	0	0.1	0.1111111111111111	0.5	0.1818181818181818	2	16	0	2
31	192.33.4.12	North-Central_100	0.1	-1	0	0.17647058823529413	0.1875	0.75	0.3	3	13	0	1
2	192.33.4.12	North-Central_100	0.2	-1	0	0.17647058823529413	0.1875	0.75	0.3	3	13	0	1
3	192.33.4.12	North-Central_100	0.3	-1	0	0.17647058823529413	0.1875	0.75	0.3	3	13	0	1
42	192.33.4.12	North-Central_100	0.4	-1	0	0.17647058823529413	0.1875	0.75	0.3	3	13	0	1
11	192.33.4.12	North-Central_100	0.5	-1	0	0.17647058823529413	0.1875	0.75	0.3	3	13	0	1
10	192.33.4.12	North-Central_100	0.6	-1	0	0.17647058823529413	0.1875	0.75	0.3	3	13	0	1
40	192.33.4.12	North-Central_100	0.7	-1	0	0.17647058823529413	0.1875	0.75	0.3	3	13	0	1
8	192.33.4.12	North-Central_100	0.8	-1	0	0.17647058823529413	0.1875	0.75	0.3	3	13	0	1
12	192.33.4.12	North-Central_100	0.9	-1	0	0.1875	0.2	0.75	0.31578947368421056	3	12	0	1
18	192.33.4.12	North-Central_100	1.0	-1	0	0.1875	0.2	0.75	0.31578947368421056	3	12	0	1
6	192.33.4.12	North-Central_1000	0.0	-1	0	0.1111111111111111	0.1111111111111111	1.0	0.19999999999999998	4	32	0	0
15	192.33.4.12	North-Central_1000	0.1	-1	0	0.1111111111111111	0.1111111111111111	1.0	0.19999999999999998	4	32	0	0
30	192.33.4.12	North-Central_1000	0.2	-1	0	0.12121212121212122	0.12121212121212122	1.0	0.21621621621621626	4	29	0	0
26	192.33.4.12	North-Central_1000	0.3	-1	0	0.11428571428571428	0.11428571428571428	1.0	0.20512820512820512	4	31	0	0
23	192.33.4.12	North-Central_1000	0.4	-1	0	0.11428571428571428	0.11428571428571428	1.0	0.20512820512820512	4	31	0	0
20	192.33.4.12	North-Central_1000	0.5	-1	0	0.11428571428571428	0.11428571428571428	1.0	0.20512820512820512	4	31	0	0
41	192.33.4.12	North-Central_1000	0.6	-1	0	0.11764705882352941	0.11764705882352941	1.0	0.21052631578947367	4	30	0	0
29	192.33.4.12	North-Central_1000	0.7	-1	0	0.11764705882352941	0.11764705882352941	1.0	0.21052631578947367	4	30	0	0
21	192.33.4.12	North-Central_1000	0.8	-1	0	0.11764705882352941	0.11764705882352941	1.0	0.21052631578947367	4	30	0	0
32	192.33.4.12	North-Central_1000	0.9	-1	0	0.11764705882352941	0.11764705882352941	1.0	0.21052631578947367	4	30	0	0
35	192.33.4.12	North-Central_1000	1.0	-1	0	0.1111111111111111	0.1111111111111111	1.0	0.19999999999999998	4	32	0	0
0	192.33.4.12	North-Central_300	0.0	-1	0	0.09090909090909091	0.09375	0.75	0.16666666666666666	3	29	0	1
25	192.33.4.12	North-Central_300	0.1	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	4	24	0	0
24	192.33.4.12	North-Central_300	0.2	-1	0	0.14814814814814814	0.14814814814814814	1.0	0.25806451612903225	4	23	0	0
4	192.33.4.12	North-Central_300	0.3	-1	0	0.15384615384615385	0.15384615384615385	1.0	0.2666666666666667	4	22	0	0
7	192.33.4.12	North-Central_300	0.4	-1	0	0.14814814814814814	0.14814814814814814	1.0	0.25806451612903225	4	23	0	0
22	192.33.4.12	North-Central_300	0.5	-1	0	0.14814814814814814	0.14814814814814814	1.0	0.25806451612903225	4	23	0	0
33	192.33.4.12	North-Central_300	0.6	-1	0	0.15384615384615385	0.15384615384615385	1.0	0.2666666666666667	4	22	0	0
19	192.33.4.12	North-Central_300	0.7	-1	0	0.15384615384615385	0.15384615384615385	1.0	0.2666666666666667	4	22	0	0
17	192.33.4.12	North-Central_300	0.8	-1	0	0.15384615384615385	0.15384615384615385	1.0	0.2666666666666667	4	22	0	0
39	192.33.4.12	North-Central_300	0.9	-1	0	0.15384615384615385	0.15384615384615385	1.0	0.2666666666666667	4	22	0	0
38	192.33.4.12	North-Central_300	1.0	-1	0	0.1111111111111111	0.11538461538461539	0.75	0.19999999999999998	3	23	0	1
36	192.33.4.12	North-Central_500	0.0	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	4	24	0	0
13	192.33.4.12	North-Central_500	0.1	-1	0	0.13793103448275862	0.13793103448275862	1.0	0.2424242424242424	4	25	0	0
1	192.33.4.12	North-Central_500	0.2	-1	0	0.125	0.125	1.0	0.2222222222222222	4	28	0	0
43	192.33.4.12	North-Central_500	0.3	-1	0	0.13793103448275862	0.13793103448275862	1.0	0.2424242424242424	4	25	0	0
5	192.33.4.12	North-Central_500	0.4	-1	0	0.13793103448275862	0.13793103448275862	1.0	0.2424242424242424	4	25	0	0
28	192.33.4.12	North-Central_500	0.5	-1	0	0.13793103448275862	0.13793103448275862	1.0	0.2424242424242424	4	25	0	0
34	192.33.4.12	North-Central_500	0.6	-1	0	0.14814814814814814	0.14814814814814814	1.0	0.25806451612903225	4	23	0	0
16	192.33.4.12	North-Central_500	0.7	-1	0	0.14814814814814814	0.14814814814814814	1.0	0.25806451612903225	4	23	0	0
14	192.33.4.12	North-Central_500	0.8	-1	0	0.14814814814814814	0.14814814814814814	1.0	0.25806451612903225	4	23	0	0
9	192.33.4.12	North-Central_500	0.9	-1	0	0.14814814814814814	0.14814814814814814	1.0	0.25806451612903225	4	23	0	0
27	192.33.4.12	North-Central_500	1.0	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	4	24	0	0
