	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
17	192.36.148.17	North-Central-section_1	1	-1.0	0	0.375	0.7058823529411765	0.4444444444444444	0.5454545454545455	12	5	0	15
11	192.36.148.17	North-Central-section_1	1	1.0	0	0.07407407407407407	1.0	0.07407407407407407	0.13793103448275862	2	0	0	25
5	192.36.148.17	North-Central-section_1	1	5.0	0	0.3870967741935484	0.75	0.4444444444444444	0.5581395348837209	12	4	0	15
9	192.36.148.17	North-Central-section_1	1	10.0	0	0.3870967741935484	0.75	0.4444444444444444	0.5581395348837209	12	4	0	15
14	192.36.148.17	North-Central-section_1	1	20.0	0	0.375	0.7058823529411765	0.4444444444444444	0.5454545454545455	12	5	0	15
0	192.36.148.17	North-Central-section_1	1	30.0	0	0.375	0.7058823529411765	0.4444444444444444	0.5454545454545455	12	5	0	15
16	192.36.148.17	North-Central-section_1.5	1	-1.0	0	0.5185185185185185	1.0	0.5185185185185185	0.6829268292682926	14	0	0	13
15	192.36.148.17	North-Central-section_1.5	1	1.0	0	0.18518518518518517	1.0	0.18518518518518517	0.3125	5	0	0	22
2	192.36.148.17	North-Central-section_1.5	1	5.0	0	0.5185185185185185	1.0	0.5185185185185185	0.6829268292682926	14	0	0	13
10	192.36.148.17	North-Central-section_1.5	1	10.0	0	0.5185185185185185	1.0	0.5185185185185185	0.6829268292682926	14	0	0	13
13	192.36.148.17	North-Central-section_1.5	1	20.0	0	0.5185185185185185	1.0	0.5185185185185185	0.6829268292682926	14	0	0	13
3	192.36.148.17	North-Central-section_1.5	1	30.0	0	0.5185185185185185	1.0	0.5185185185185185	0.6829268292682926	14	0	0	13
4	192.36.148.17	North-Central-section_2	1	-1.0	0	0.36666666666666664	0.7857142857142857	0.4074074074074074	0.5365853658536585	11	3	0	16
12	192.36.148.17	North-Central-section_2	1	1.0	0	0.14285714285714285	0.8	0.14814814814814814	0.25	4	1	0	23
6	192.36.148.17	North-Central-section_2	1	5.0	0	0.3793103448275862	0.8461538461538461	0.4074074074074074	0.5499999999999999	11	2	0	16
1	192.36.148.17	North-Central-section_2	1	10.0	0	0.3793103448275862	0.8461538461538461	0.4074074074074074	0.5499999999999999	11	2	0	16
8	192.36.148.17	North-Central-section_2	1	20.0	0	0.36666666666666664	0.7857142857142857	0.4074074074074074	0.5365853658536585	11	3	0	16
7	192.36.148.17	North-Central-section_2	1	30.0	0	0.36666666666666664	0.7857142857142857	0.4074074074074074	0.5365853658536585	11	3	0	16
