	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
3	198.97.190.53	North-Central-section_1	0.0	-1	0	0.25	0.3333333333333333	0.5	0.4	1	2	0	1
11	198.97.190.53	North-Central-section_1	0.1	-1	0	0.25	0.3333333333333333	0.5	0.4	1	2	0	1
0	198.97.190.53	North-Central-section_1	0.2	-1	0	0.25	0.3333333333333333	0.5	0.4	1	2	0	1
21	198.97.190.53	North-Central-section_1	0.3	-1	0	0.6666666666666666	0.6666666666666666	1.0	0.8	2	1	0	0
2	198.97.190.53	North-Central-section_1	0.4	-1	0	0.6666666666666666	0.6666666666666666	1.0	0.8	2	1	0	0
9	198.97.190.53	North-Central-section_1	0.5	-1	0	0.6666666666666666	0.6666666666666666	1.0	0.8	2	1	0	0
20	198.97.190.53	North-Central-section_1	0.6	-1	0	0.6666666666666666	0.6666666666666666	1.0	0.8	2	1	0	0
4	198.97.190.53	North-Central-section_1	0.7	-1	0	0.6666666666666666	0.6666666666666666	1.0	0.8	2	1	0	0
6	198.97.190.53	North-Central-section_1	0.8	-1	0	0.6666666666666666	0.6666666666666666	1.0	0.8	2	1	0	0
18	198.97.190.53	North-Central-section_1	0.9	-1	0	0.6666666666666666	0.6666666666666666	1.0	0.8	2	1	0	0
19	198.97.190.53	North-Central-section_1	1.0	-1	0	0.6666666666666666	0.6666666666666666	1.0	0.8	2	1	0	0
12	198.97.190.53	North-Central-section_1.5	0.0	-1	0	0.0	0.0	0.0	0.0	0	4	0	2
17	198.97.190.53	North-Central-section_1.5	0.1	-1	0	0.0	0.0	0.0	0.0	0	2	0	2
8	198.97.190.53	North-Central-section_1.5	0.2	-1	0	0.0	0.0	0.0	0.0	0	2	0	2
13	198.97.190.53	North-Central-section_1.5	0.3	-1	0	0.0	0.0	0.0	0.0	0	2	0	2
15	198.97.190.53	North-Central-section_1.5	0.4	-1	0	0.0	0.0	0.0	0.0	0	2	0	2
1	198.97.190.53	North-Central-section_1.5	0.5	-1	0	0.0	0.0	0.0	0.0	0	2	0	2
16	198.97.190.53	North-Central-section_1.5	0.6	-1	0	0.25	0.3333333333333333	0.5	0.4	1	2	0	1
7	198.97.190.53	North-Central-section_1.5	0.7	-1	0	0.25	0.3333333333333333	0.5	0.4	1	2	0	1
14	198.97.190.53	North-Central-section_1.5	0.8	-1	0	0.25	0.3333333333333333	0.5	0.4	1	2	0	1
10	198.97.190.53	North-Central-section_1.5	0.9	-1	0	0.25	0.3333333333333333	0.5	0.4	1	2	0	1
5	198.97.190.53	North-Central-section_1.5	1.0	-1	0	0.25	0.3333333333333333	0.5	0.4	1	2	0	1
