	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
43	199.9.14.201	North-Central_100	0.0	-1	0	0.2	0.2	1.0	0.33333333333333337	1	4	0	0
31	199.9.14.201	North-Central_100	0.1	-1	0	0.25	0.25	1.0	0.4	1	3	0	0
6	199.9.14.201	North-Central_100	0.2	-1	0	0.0	0.0	0.0	0.0	0	4	0	1
42	199.9.14.201	North-Central_100	0.3	-1	0	0.0	0.0	0.0	0.0	0	4	0	1
36	199.9.14.201	North-Central_100	0.4	-1	0	0.0	0.0	0.0	0.0	0	4	0	1
16	199.9.14.201	North-Central_100	0.5	-1	0	0.25	0.25	1.0	0.4	1	3	0	0
5	199.9.14.201	North-Central_100	0.6	-1	0	0.25	0.25	1.0	0.4	1	3	0	0
25	199.9.14.201	North-Central_100	0.7	-1	0	0.25	0.25	1.0	0.4	1	3	0	0
28	199.9.14.201	North-Central_100	0.8	-1	0	0.25	0.25	1.0	0.4	1	3	0	0
33	199.9.14.201	North-Central_100	0.9	-1	0	0.25	0.25	1.0	0.4	1	3	0	0
17	199.9.14.201	North-Central_100	1.0	-1	0	0.25	0.25	1.0	0.4	1	3	0	0
39	199.9.14.201	North-Central_1000	0.0	-1	0	0.16666666666666666	0.16666666666666666	1.0	0.2857142857142857	1	5	0	0
12	199.9.14.201	North-Central_1000	0.1	-1	0	0.125	0.125	1.0	0.2222222222222222	1	7	0	0
21	199.9.14.201	North-Central_1000	0.2	-1	0	0.1111111111111111	0.1111111111111111	1.0	0.19999999999999998	1	8	0	0
40	199.9.14.201	North-Central_1000	0.3	-1	0	0.1111111111111111	0.1111111111111111	1.0	0.19999999999999998	1	8	0	0
29	199.9.14.201	North-Central_1000	0.4	-1	0	0.1111111111111111	0.1111111111111111	1.0	0.19999999999999998	1	8	0	0
24	199.9.14.201	North-Central_1000	0.5	-1	0	0.1111111111111111	0.1111111111111111	1.0	0.19999999999999998	1	8	0	0
11	199.9.14.201	North-Central_1000	0.6	-1	0	0.1111111111111111	0.1111111111111111	1.0	0.19999999999999998	1	8	0	0
15	199.9.14.201	North-Central_1000	0.7	-1	0	0.1111111111111111	0.1111111111111111	1.0	0.19999999999999998	1	8	0	0
27	199.9.14.201	North-Central_1000	0.8	-1	0	0.1111111111111111	0.1111111111111111	1.0	0.19999999999999998	1	8	0	0
20	199.9.14.201	North-Central_1000	0.9	-1	0	0.1111111111111111	0.1111111111111111	1.0	0.19999999999999998	1	8	0	0
7	199.9.14.201	North-Central_1000	1.0	-1	0	0.1111111111111111	0.1111111111111111	1.0	0.19999999999999998	1	8	0	0
9	199.9.14.201	North-Central_300	0.0	-1	0	0.16666666666666666	0.16666666666666666	1.0	0.2857142857142857	1	5	0	0
10	199.9.14.201	North-Central_300	0.1	-1	0	0.16666666666666666	0.16666666666666666	1.0	0.2857142857142857	1	5	0	0
19	199.9.14.201	North-Central_300	0.2	-1	0	0.16666666666666666	0.16666666666666666	1.0	0.2857142857142857	1	5	0	0
2	199.9.14.201	North-Central_300	0.3	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	1	6	0	0
14	199.9.14.201	North-Central_300	0.4	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	1	6	0	0
22	199.9.14.201	North-Central_300	0.5	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	1	6	0	0
23	199.9.14.201	North-Central_300	0.6	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	1	6	0	0
41	199.9.14.201	North-Central_300	0.7	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	1	6	0	0
18	199.9.14.201	North-Central_300	0.8	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	1	6	0	0
13	199.9.14.201	North-Central_300	0.9	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	1	6	0	0
38	199.9.14.201	North-Central_300	1.0	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	1	6	0	0
0	199.9.14.201	North-Central_500	0.0	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	1	6	0	0
1	199.9.14.201	North-Central_500	0.1	-1	0	0.2	0.2	1.0	0.33333333333333337	1	4	0	0
32	199.9.14.201	North-Central_500	0.2	-1	0	0.2	0.2	1.0	0.33333333333333337	1	4	0	0
8	199.9.14.201	North-Central_500	0.3	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	1	6	0	0
37	199.9.14.201	North-Central_500	0.4	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	1	6	0	0
30	199.9.14.201	North-Central_500	0.5	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	1	6	0	0
35	199.9.14.201	North-Central_500	0.6	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	1	6	0	0
4	199.9.14.201	North-Central_500	0.7	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	1	6	0	0
26	199.9.14.201	North-Central_500	0.8	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	1	6	0	0
34	199.9.14.201	North-Central_500	0.9	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	1	6	0	0
3	199.9.14.201	North-Central_500	1.0	-1	0	0.14285714285714285	0.14285714285714285	1.0	0.25	1	6	0	0
