	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1
19	199.7.91.13	North-Central_100	0.0	-1	0	0.037037037037037035	0.18181818181818182	0.044444444444444446	0.07142857142857142
43	199.7.91.13	North-Central_100	0.1	-1	0	0.03773584905660377	0.2	0.044444444444444446	0.07272727272727272
20	199.7.91.13	North-Central_100	0.2	-1	0	0.038461538461538464	0.2222222222222222	0.044444444444444446	0.07407407407407407
42	199.7.91.13	North-Central_100	0.3	-1	0	0.08	0.4444444444444444	0.08888888888888889	0.14814814814814814
23	199.7.91.13	North-Central_100	0.4	-1	0	0.08	0.4444444444444444	0.08888888888888889	0.14814814814814814
4	199.7.91.13	North-Central_100	0.5	-1	0	0.14285714285714285	0.6363636363636364	0.15555555555555556	0.25
38	199.7.91.13	North-Central_100	0.6	-1	0	0.16666666666666666	0.7272727272727273	0.17777777777777778	0.2857142857142857
10	199.7.91.13	North-Central_100	0.7	-1	0	0.2127659574468085	0.8333333333333334	0.2222222222222222	0.3508771929824561
11	199.7.91.13	North-Central_100	0.8	-1	0	0.2127659574468085	0.8333333333333334	0.2222222222222222	0.3508771929824561
26	199.7.91.13	North-Central_100	0.9	-1	0	0.2127659574468085	0.8333333333333334	0.2222222222222222	0.3508771929824561
21	199.7.91.13	North-Central_100	1.0	-1	0	0.2127659574468085	0.8333333333333334	0.2222222222222222	0.3508771929824561
32	199.7.91.13	North-Central_1000	0.0	-1	0	0.40384615384615385	0.7241379310344828	0.4772727272727273	0.5753424657534246
18	199.7.91.13	North-Central_1000	0.1	-1	0	0.43137254901960786	0.7586206896551724	0.5	0.6027397260273972
35	199.7.91.13	North-Central_1000	0.2	-1	0	0.43137254901960786	0.7586206896551724	0.5	0.6027397260273972
34	199.7.91.13	North-Central_1000	0.3	-1	0	0.44	0.7857142857142857	0.5	0.6111111111111112
39	199.7.91.13	North-Central_1000	0.4	-1	0	0.46938775510204084	0.8214285714285714	0.5227272727272727	0.6388888888888888
3	199.7.91.13	North-Central_1000	0.5	-1	0	0.5	0.8571428571428571	0.5454545454545454	0.6666666666666665
6	199.7.91.13	North-Central_1000	0.6	-1	0	0.5	0.8571428571428571	0.5454545454545454	0.6666666666666665
2	199.7.91.13	North-Central_1000	0.7	-1	0	0.5652173913043478	0.9285714285714286	0.5909090909090909	0.7222222222222223
9	199.7.91.13	North-Central_1000	0.8	-1	0	0.5652173913043478	0.9285714285714286	0.5909090909090909	0.7222222222222223
17	199.7.91.13	North-Central_1000	0.9	-1	0	0.5652173913043478	0.9285714285714286	0.5909090909090909	0.7222222222222223
40	199.7.91.13	North-Central_1000	1.0	-1	0	0.5652173913043478	0.9285714285714286	0.5909090909090909	0.7222222222222223
28	199.7.91.13	North-Central_300	0.0	-1	0	0.12962962962962962	0.4117647058823529	0.1590909090909091	0.22950819672131148
41	199.7.91.13	North-Central_300	0.1	-1	0	0.1111111111111111	0.375	0.13636363636363635	0.19999999999999998
27	199.7.91.13	North-Central_300	0.2	-1	0	0.10909090909090909	0.35294117647058826	0.13636363636363635	0.19672131147540983
1	199.7.91.13	North-Central_300	0.3	-1	0	0.17307692307692307	0.5294117647058824	0.20454545454545456	0.29508196721311475
12	199.7.91.13	North-Central_300	0.4	-1	0	0.19607843137254902	0.5882352941176471	0.22727272727272727	0.32786885245901637
36	199.7.91.13	North-Central_300	0.5	-1	0	0.24489795918367346	0.7058823529411765	0.2727272727272727	0.39344262295081966
33	199.7.91.13	North-Central_300	0.6	-1	0	0.2916666666666667	0.7777777777777778	0.3181818181818182	0.45161290322580644
30	199.7.91.13	North-Central_300	0.7	-1	0	0.2978723404255319	0.8235294117647058	0.3181818181818182	0.45901639344262296
37	199.7.91.13	North-Central_300	0.8	-1	0	0.2978723404255319	0.8235294117647058	0.3181818181818182	0.45901639344262296
25	199.7.91.13	North-Central_300	0.9	-1	0	0.2978723404255319	0.8235294117647058	0.3181818181818182	0.45901639344262296
14	199.7.91.13	North-Central_300	1.0	-1	0	0.2978723404255319	0.8235294117647058	0.3181818181818182	0.45901639344262296
15	199.7.91.13	North-Central_500	0.0	-1	0	0.3333333333333333	0.7083333333333334	0.38636363636363635	0.5
16	199.7.91.13	North-Central_500	0.1	-1	0	0.3333333333333333	0.7083333333333334	0.38636363636363635	0.5
0	199.7.91.13	North-Central_500	0.2	-1	0	0.3333333333333333	0.7083333333333334	0.38636363636363635	0.5
8	199.7.91.13	North-Central_500	0.3	-1	0	0.3333333333333333	0.7083333333333334	0.38636363636363635	0.5
24	199.7.91.13	North-Central_500	0.4	-1	0	0.3958333333333333	0.8260869565217391	0.4318181818181818	0.5671641791044776
29	199.7.91.13	North-Central_500	0.5	-1	0	0.425531914893617	0.8695652173913043	0.45454545454545453	0.5970149253731344
7	199.7.91.13	North-Central_500	0.6	-1	0	0.425531914893617	0.8695652173913043	0.45454545454545453	0.5970149253731344
31	199.7.91.13	North-Central_500	0.7	-1	0	0.45652173913043476	0.9130434782608695	0.4772727272727273	0.6268656716417911
13	199.7.91.13	North-Central_500	0.8	-1	0	0.4888888888888889	0.9565217391304348	0.5	0.6567164179104478
5	199.7.91.13	North-Central_500	0.9	-1	0	0.4888888888888889	0.9565217391304348	0.5	0.6567164179104478
22	199.7.91.13	North-Central_500	1.0	-1	0	0.4888888888888889	0.9565217391304348	0.5	0.6567164179104478
