	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
10	192.5.5.241	North-Central-section_1	1	-1.0	0	0.4805194805194805	0.8222222222222222	0.5362318840579711	0.6491228070175439	37	8	0	32
3	192.5.5.241	North-Central-section_1	1	1.0	0	0.12857142857142856	0.9	0.13043478260869565	0.22784810126582278	9	1	0	60
12	192.5.5.241	North-Central-section_1	1	5.0	0	0.4864864864864865	0.8780487804878049	0.5217391304347826	0.6545454545454545	36	5	0	33
9	192.5.5.241	North-Central-section_1	1	10.0	0	0.4675324675324675	0.8181818181818182	0.5217391304347826	0.6371681415929203	36	8	0	33
6	192.5.5.241	North-Central-section_1	1	20.0	0	0.4805194805194805	0.8222222222222222	0.5362318840579711	0.6491228070175439	37	8	0	32
1	192.5.5.241	North-Central-section_1	1	30.0	0	0.4805194805194805	0.8222222222222222	0.5362318840579711	0.6491228070175439	37	8	0	32
19	192.5.5.241	North-Central-section_1.5	1	-1.0	0	0.38666666666666666	0.8285714285714286	0.42028985507246375	0.5576923076923077	29	6	0	40
2	192.5.5.241	North-Central-section_1.5	1	0.5	0	0.028985507246376812	1.0	0.028985507246376812	0.05633802816901409	2	0	0	67
13	192.5.5.241	North-Central-section_1.5	1	1.0	0	0.1	0.875	0.10144927536231885	0.18181818181818182	7	1	0	62
16	192.5.5.241	North-Central-section_1.5	1	5.0	0	0.3698630136986301	0.8709677419354839	0.391304347826087	0.54	27	4	0	42
8	192.5.5.241	North-Central-section_1.5	1	10.0	0	0.3972602739726027	0.8787878787878788	0.42028985507246375	0.5686274509803921	29	4	0	40
14	192.5.5.241	North-Central-section_1.5	1	20.0	0	0.38666666666666666	0.8285714285714286	0.42028985507246375	0.5576923076923077	29	6	0	40
4	192.5.5.241	North-Central-section_1.5	1	30.0	0	0.38666666666666666	0.8285714285714286	0.42028985507246375	0.5576923076923077	29	6	0	40
5	192.5.5.241	North-Central-section_2	1	-1.0	0	0.4507042253521127	0.9411764705882353	0.463768115942029	0.6213592233009708	32	2	0	37
11	192.5.5.241	North-Central-section_2	1	0.5	0	0.028985507246376812	1.0	0.028985507246376812	0.05633802816901409	2	0	0	67
0	192.5.5.241	North-Central-section_2	1	1.0	0	0.11267605633802817	0.8	0.11594202898550725	0.20253164556962025	8	2	0	61
17	192.5.5.241	North-Central-section_2	1	5.0	0	0.39436619718309857	0.9333333333333333	0.4057971014492754	0.5656565656565656	28	2	0	41
7	192.5.5.241	North-Central-section_2	1	10.0	0	0.4507042253521127	0.9411764705882353	0.463768115942029	0.6213592233009708	32	2	0	37
18	192.5.5.241	North-Central-section_2	1	20.0	0	0.4507042253521127	0.9411764705882353	0.463768115942029	0.6213592233009708	32	2	0	37
15	192.5.5.241	North-Central-section_2	1	30.0	0	0.4507042253521127	0.9411764705882353	0.463768115942029	0.6213592233009708	32	2	0	37
