	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
22	192.36.148.17	North-Central_100	1	-1.0	0	0.41379310344827586	0.7058823529411765	0.5	0.5853658536585366	12	5	0	12
13	192.36.148.17	North-Central_100	1	1.0	0	0.08333333333333333	1.0	0.08333333333333333	0.15384615384615385	2	0	0	22
2	192.36.148.17	North-Central_100	1	5.0	0	0.4166666666666667	1.0	0.4166666666666667	0.5882352941176471	10	0	0	14
11	192.36.148.17	North-Central_100	1	10.0	0	0.46153846153846156	0.8571428571428571	0.5	0.631578947368421	12	2	0	12
16	192.36.148.17	North-Central_100	1	20.0	0	0.41379310344827586	0.7058823529411765	0.5	0.5853658536585366	12	5	0	12
1	192.36.148.17	North-Central_100	1	30.0	0	0.41379310344827586	0.7058823529411765	0.5	0.5853658536585366	12	5	0	12
4	192.36.148.17	North-Central_1000	1	-1.0	0	0.375	0.3888888888888889	0.9130434782608695	0.5454545454545454	21	33	0	2
3	192.36.148.17	North-Central_1000	1	1.0	0	0.43478260869565216	1.0	0.43478260869565216	0.6060606060606061	10	0	0	13
18	192.36.148.17	North-Central_1000	1	5.0	0	0.5	0.525	0.9130434782608695	0.6666666666666667	21	19	0	2
15	192.36.148.17	North-Central_1000	1	10.0	0	0.42	0.4375	0.9130434782608695	0.5915492957746479	21	27	0	2
6	192.36.148.17	North-Central_1000	1	20.0	0	0.375	0.3888888888888889	0.9130434782608695	0.5454545454545454	21	33	0	2
17	192.36.148.17	North-Central_1000	1	30.0	0	0.375	0.3888888888888889	0.9130434782608695	0.5454545454545454	21	33	0	2
9	192.36.148.17	North-Central_300	1	-1.0	0	0.38636363636363635	0.4473684210526316	0.7391304347826086	0.5573770491803278	17	21	0	6
8	192.36.148.17	North-Central_300	1	1.0	0	0.08695652173913043	1.0	0.08695652173913043	0.16	2	0	0	21
12	192.36.148.17	North-Central_300	1	5.0	0	0.45161290322580644	0.6363636363636364	0.6086956521739131	0.6222222222222223	14	8	0	9
7	192.36.148.17	North-Central_300	1	10.0	0	0.4358974358974359	0.5151515151515151	0.7391304347826086	0.6071428571428571	17	16	0	6
20	192.36.148.17	North-Central_300	1	20.0	0	0.3953488372093023	0.4594594594594595	0.7391304347826086	0.5666666666666667	17	20	0	6
23	192.36.148.17	North-Central_300	1	30.0	0	0.38636363636363635	0.4473684210526316	0.7391304347826086	0.5573770491803278	17	21	0	6
5	192.36.148.17	North-Central_500	1	-1.0	0	0.40425531914893614	0.4318181818181818	0.8636363636363636	0.5757575757575758	19	25	0	3
14	192.36.148.17	North-Central_500	1	1.0	0	0.16666666666666666	0.6666666666666666	0.18181818181818182	0.28571428571428575	4	2	0	18
0	192.36.148.17	North-Central_500	1	5.0	0	0.5625	0.6428571428571429	0.8181818181818182	0.7200000000000001	18	10	0	4
21	192.36.148.17	North-Central_500	1	10.0	0	0.43902439024390244	0.4864864864864865	0.8181818181818182	0.6101694915254238	18	19	0	4
10	192.36.148.17	North-Central_500	1	20.0	0	0.391304347826087	0.42857142857142855	0.8181818181818182	0.5625	18	24	0	4
19	192.36.148.17	North-Central_500	1	30.0	0	0.3829787234042553	0.4186046511627907	0.8181818181818182	0.5538461538461539	18	25	0	4
