	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1
19	193.0.14.129	North-Central_100	1	-1.0	0	0.175	0.875	0.1794871794871795	0.2978723404255319
13	193.0.14.129	North-Central_100	1	1.0	0	0.05128205128205128	1.0	0.05128205128205128	0.09756097560975609
15	193.0.14.129	North-Central_100	1	5.0	0	0.175	0.875	0.1794871794871795	0.2978723404255319
17	193.0.14.129	North-Central_100	1	10.0	0	0.175	0.875	0.1794871794871795	0.2978723404255319
12	193.0.14.129	North-Central_100	1	20.0	0	0.175	0.875	0.1794871794871795	0.2978723404255319
7	193.0.14.129	North-Central_100	1	30.0	0	0.175	0.875	0.1794871794871795	0.2978723404255319
0	193.0.14.129	North-Central_1000	1	-1.0	0	0.5128205128205128	1.0	0.5128205128205128	0.6779661016949152
23	193.0.14.129	North-Central_1000	1	0.5	0	0.10256410256410256	1.0	0.10256410256410256	0.18604651162790695
14	193.0.14.129	North-Central_1000	1	1.0	0	0.358974358974359	1.0	0.358974358974359	0.5283018867924528
5	193.0.14.129	North-Central_1000	1	5.0	0	0.5128205128205128	1.0	0.5128205128205128	0.6779661016949152
18	193.0.14.129	North-Central_1000	1	10.0	0	0.5128205128205128	1.0	0.5128205128205128	0.6779661016949152
1	193.0.14.129	North-Central_1000	1	20.0	0	0.5128205128205128	1.0	0.5128205128205128	0.6779661016949152
4	193.0.14.129	North-Central_1000	1	30.0	0	0.5128205128205128	1.0	0.5128205128205128	0.6779661016949152
21	193.0.14.129	North-Central_300	1	-1.0	0	0.325	0.9285714285714286	0.3333333333333333	0.4905660377358491
10	193.0.14.129	North-Central_300	1	1.0	0	0.1	0.8	0.10256410256410256	0.18181818181818182
22	193.0.14.129	North-Central_300	1	5.0	0	0.325	0.9285714285714286	0.3333333333333333	0.4905660377358491
20	193.0.14.129	North-Central_300	1	10.0	0	0.325	0.9285714285714286	0.3333333333333333	0.4905660377358491
2	193.0.14.129	North-Central_300	1	20.0	0	0.325	0.9285714285714286	0.3333333333333333	0.4905660377358491
24	193.0.14.129	North-Central_300	1	30.0	0	0.325	0.9285714285714286	0.3333333333333333	0.4905660377358491
9	193.0.14.129	North-Central_500	1	-1.0	0	0.38095238095238093	0.8421052631578947	0.41025641025641024	0.5517241379310346
11	193.0.14.129	North-Central_500	1	1.0	0	0.15	0.8571428571428571	0.15384615384615385	0.2608695652173913
3	193.0.14.129	North-Central_500	1	5.0	0	0.38095238095238093	0.8421052631578947	0.41025641025641024	0.5517241379310346
16	193.0.14.129	North-Central_500	1	10.0	0	0.38095238095238093	0.8421052631578947	0.41025641025641024	0.5517241379310346
6	193.0.14.129	North-Central_500	1	20.0	0	0.38095238095238093	0.8421052631578947	0.41025641025641024	0.5517241379310346
8	193.0.14.129	North-Central_500	1	30.0	0	0.38095238095238093	0.8421052631578947	0.41025641025641024	0.5517241379310346
