	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
7	193.0.14.129	North-Central-section_1	1	-1.0	0	0.40384615384615385	0.7	0.4883720930232558	0.5753424657534246	21	9	0	22
0	193.0.14.129	North-Central-section_1	1	1.0	0	0.044444444444444446	0.5	0.046511627906976744	0.0851063829787234	2	2	0	41
5	193.0.14.129	North-Central-section_1	1	5.0	0	0.3617021276595745	0.8095238095238095	0.3953488372093023	0.53125	17	4	0	26
2	193.0.14.129	North-Central-section_1	1	10.0	0	0.38461538461538464	0.6896551724137931	0.46511627906976744	0.5555555555555556	20	9	0	23
17	193.0.14.129	North-Central-section_1	1	20.0	0	0.40384615384615385	0.7	0.4883720930232558	0.5753424657534246	21	9	0	22
13	193.0.14.129	North-Central-section_1	1	30.0	0	0.40384615384615385	0.7	0.4883720930232558	0.5753424657534246	21	9	0	22
14	193.0.14.129	North-Central-section_1.5	1	-1.0	0	0.3269230769230769	0.6538461538461539	0.3953488372093023	0.49275362318840576	17	9	0	26
11	193.0.14.129	North-Central-section_1.5	1	1.0	0	0.13953488372093023	1.0	0.13953488372093023	0.24489795918367346	6	0	0	37
9	193.0.14.129	North-Central-section_1.5	1	5.0	0	0.2765957446808511	0.7647058823529411	0.3023255813953488	0.4333333333333333	13	4	0	30
12	193.0.14.129	North-Central-section_1.5	1	10.0	0	0.28846153846153844	0.625	0.3488372093023256	0.44776119402985076	15	9	0	28
15	193.0.14.129	North-Central-section_1.5	1	20.0	0	0.3269230769230769	0.6538461538461539	0.3953488372093023	0.49275362318840576	17	9	0	26
1	193.0.14.129	North-Central-section_1.5	1	30.0	0	0.3269230769230769	0.6538461538461539	0.3953488372093023	0.49275362318840576	17	9	0	26
16	193.0.14.129	North-Central-section_2	1	-1.0	0	0.3829787234042553	0.8181818181818182	0.4186046511627907	0.5538461538461539	18	4	0	25
6	193.0.14.129	North-Central-section_2	1	1.0	0	0.06976744186046512	1.0	0.06976744186046512	0.13043478260869565	3	0	0	40
10	193.0.14.129	North-Central-section_2	1	5.0	0	0.29545454545454547	0.9285714285714286	0.3023255813953488	0.456140350877193	13	1	0	30
8	193.0.14.129	North-Central-section_2	1	10.0	0	0.3191489361702128	0.7894736842105263	0.3488372093023256	0.48387096774193555	15	4	0	28
4	193.0.14.129	North-Central-section_2	1	20.0	0	0.3829787234042553	0.8181818181818182	0.4186046511627907	0.5538461538461539	18	4	0	25
3	193.0.14.129	North-Central-section_2	1	30.0	0	0.3829787234042553	0.8181818181818182	0.4186046511627907	0.5538461538461539	18	4	0	25
