	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1
5	199.7.83.42	North-Central_100	0.0	-1	0	0.029411764705882353	0.2	0.03333333333333333	0.05714285714285715
1	199.7.83.42	North-Central_100	0.1	-1	0	0.058823529411764705	0.3333333333333333	0.06666666666666667	0.1111111111111111
42	199.7.83.42	North-Central_100	0.2	-1	0	0.058823529411764705	0.3333333333333333	0.06666666666666667	0.1111111111111111
38	199.7.83.42	North-Central_100	0.3	-1	0	0.08823529411764706	0.42857142857142855	0.1	0.16216216216216217
25	199.7.83.42	North-Central_100	0.4	-1	0	0.08823529411764706	0.42857142857142855	0.1	0.16216216216216217
7	199.7.83.42	North-Central_100	0.5	-1	0	0.08823529411764706	0.42857142857142855	0.1	0.16216216216216217
32	199.7.83.42	North-Central_100	0.6	-1	0	0.08823529411764706	0.42857142857142855	0.1	0.16216216216216217
43	199.7.83.42	North-Central_100	0.7	-1	0	0.08823529411764706	0.42857142857142855	0.1	0.16216216216216217
9	199.7.83.42	North-Central_100	0.8	-1	0	0.125	0.6666666666666666	0.13333333333333333	0.2222222222222222
41	199.7.83.42	North-Central_100	0.9	-1	0	0.125	0.6666666666666666	0.13333333333333333	0.2222222222222222
33	199.7.83.42	North-Central_100	1.0	-1	0	0.125	0.6666666666666666	0.13333333333333333	0.2222222222222222
17	199.7.83.42	North-Central_1000	0.0	-1	0	0.29411764705882354	0.6666666666666666	0.3448275862068966	0.4545454545454545
6	199.7.83.42	North-Central_1000	0.1	-1	0	0.29411764705882354	0.6666666666666666	0.3448275862068966	0.4545454545454545
24	199.7.83.42	North-Central_1000	0.2	-1	0	0.30303030303030304	0.6666666666666666	0.35714285714285715	0.46511627906976744
4	199.7.83.42	North-Central_1000	0.3	-1	0	0.34375	0.7333333333333333	0.39285714285714285	0.5116279069767441
31	199.7.83.42	North-Central_1000	0.4	-1	0	0.3333333333333333	0.7333333333333333	0.3793103448275862	0.5
15	199.7.83.42	North-Central_1000	0.5	-1	0	0.375	0.8	0.41379310344827586	0.5454545454545454
14	199.7.83.42	North-Central_1000	0.6	-1	0	0.41935483870967744	0.8666666666666667	0.4482758620689655	0.5909090909090909
39	199.7.83.42	North-Central_1000	0.7	-1	0	0.41935483870967744	0.8666666666666667	0.4482758620689655	0.5909090909090909
23	199.7.83.42	North-Central_1000	0.8	-1	0	0.41935483870967744	0.8666666666666667	0.4482758620689655	0.5909090909090909
30	199.7.83.42	North-Central_1000	0.9	-1	0	0.40625	0.8666666666666667	0.43333333333333335	0.5777777777777778
28	199.7.83.42	North-Central_1000	1.0	-1	0	0.40625	0.8666666666666667	0.43333333333333335	0.5777777777777778
8	199.7.83.42	North-Central_300	0.0	-1	0	0.10810810810810811	0.36363636363636365	0.13333333333333333	0.1951219512195122
2	199.7.83.42	North-Central_300	0.1	-1	0	0.14285714285714285	0.5	0.16666666666666666	0.25
22	199.7.83.42	North-Central_300	0.2	-1	0	0.17647058823529413	0.5454545454545454	0.20689655172413793	0.3
21	199.7.83.42	North-Central_300	0.3	-1	0	0.21212121212121213	0.6363636363636364	0.2413793103448276	0.35
37	199.7.83.42	North-Central_300	0.4	-1	0	0.25	0.7272727272727273	0.27586206896551724	0.4
16	199.7.83.42	North-Central_300	0.5	-1	0	0.3333333333333333	0.9090909090909091	0.3448275862068966	0.5000000000000001
26	199.7.83.42	North-Central_300	0.6	-1	0	0.3333333333333333	0.9090909090909091	0.3448275862068966	0.5000000000000001
29	199.7.83.42	North-Central_300	0.7	-1	0	0.3333333333333333	0.9090909090909091	0.3448275862068966	0.5000000000000001
12	199.7.83.42	North-Central_300	0.8	-1	0	0.3333333333333333	0.9090909090909091	0.3448275862068966	0.5000000000000001
27	199.7.83.42	North-Central_300	0.9	-1	0	0.3225806451612903	0.9090909090909091	0.3333333333333333	0.4878048780487804
3	199.7.83.42	North-Central_300	1.0	-1	0	0.3225806451612903	0.9090909090909091	0.3333333333333333	0.4878048780487804
10	199.7.83.42	North-Central_500	0.0	-1	0	0.2222222222222222	0.5714285714285714	0.26666666666666666	0.36363636363636365
36	199.7.83.42	North-Central_500	0.1	-1	0	0.2222222222222222	0.5714285714285714	0.26666666666666666	0.36363636363636365
40	199.7.83.42	North-Central_500	0.2	-1	0	0.2571428571428571	0.6428571428571429	0.3	0.4090909090909091
11	199.7.83.42	North-Central_500	0.3	-1	0	0.2571428571428571	0.6428571428571429	0.3	0.4090909090909091
13	199.7.83.42	North-Central_500	0.4	-1	0	0.29411764705882354	0.7142857142857143	0.3333333333333333	0.4545454545454545
20	199.7.83.42	North-Central_500	0.5	-1	0	0.375	0.8571428571428571	0.4	0.5454545454545455
19	199.7.83.42	North-Central_500	0.6	-1	0	0.375	0.8571428571428571	0.4	0.5454545454545455
18	199.7.83.42	North-Central_500	0.7	-1	0	0.41935483870967744	0.9285714285714286	0.43333333333333335	0.5909090909090909
35	199.7.83.42	North-Central_500	0.8	-1	0	0.41935483870967744	0.9285714285714286	0.43333333333333335	0.5909090909090909
0	199.7.83.42	North-Central_500	0.9	-1	0	0.41935483870967744	0.9285714285714286	0.43333333333333335	0.5909090909090909
34	199.7.83.42	North-Central_500	1.0	-1	0	0.41935483870967744	0.9285714285714286	0.43333333333333335	0.5909090909090909
