	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
18	104.16.123.96	Europe_countries_10	1	-1.0	0	0.4225352112676056	0.5769230769230769	0.6122448979591837	0.594059405940594	30	22	0	19
0	104.16.123.96	Europe_countries_10	1	0.5	0	0.02	1.0	0.02	0.0392156862745098	1	0	0	49
13	104.16.123.96	Europe_countries_10	1	1.0	0	0.16	1.0	0.16	0.2758620689655173	8	0	0	42
14	104.16.123.96	Europe_countries_10	1	5.0	0	0.4482758620689655	0.7428571428571429	0.5306122448979592	0.6190476190476191	26	9	0	23
8	104.16.123.96	Europe_countries_10	1	10.0	0	0.46875	0.6666666666666666	0.6122448979591837	0.6382978723404255	30	15	0	19
2	104.16.123.96	Europe_countries_10	1	20.0	0	0.4411764705882353	0.6122448979591837	0.6122448979591837	0.6122448979591837	30	19	0	19
11	104.16.123.96	Europe_countries_10	1	30.0	0	0.43478260869565216	0.6	0.6122448979591837	0.6060606060606062	30	20	0	19
4	104.16.123.96	Europe_countries_15	1	-1.0	0	0.3176470588235294	0.4153846153846154	0.574468085106383	0.48214285714285715	27	38	0	20
19	104.16.123.96	Europe_countries_15	1	0.5	0	0.041666666666666664	1.0	0.041666666666666664	0.07999999999999999	2	0	0	46
5	104.16.123.96	Europe_countries_15	1	1.0	0	0.14285714285714285	0.875	0.14583333333333334	0.25000000000000006	7	1	0	41
6	104.16.123.96	Europe_countries_15	1	5.0	0	0.3582089552238806	0.5454545454545454	0.5106382978723404	0.5274725274725275	24	20	0	23
15	104.16.123.96	Europe_countries_15	1	10.0	0	0.32098765432098764	0.43333333333333335	0.5531914893617021	0.48598130841121495	26	34	0	21
7	104.16.123.96	Europe_countries_15	1	20.0	0	0.3058823529411765	0.40625	0.5531914893617021	0.46846846846846846	26	38	0	21
3	104.16.123.96	Europe_countries_15	1	30.0	0	0.3176470588235294	0.4153846153846154	0.574468085106383	0.48214285714285715	27	38	0	20
16	104.16.123.96	Europe_countries_5	1	-1.0	0	0.3709677419354839	0.6571428571428571	0.46	0.5411764705882354	23	12	0	27
12	104.16.123.96	Europe_countries_5	1	1.0	0	0.0784313725490196	1.0	0.0784313725490196	0.14545454545454545	4	0	0	47
17	104.16.123.96	Europe_countries_5	1	5.0	0	0.30357142857142855	0.7391304347826086	0.34	0.4657534246575342	17	6	0	33
1	104.16.123.96	Europe_countries_5	1	10.0	0	0.36065573770491804	0.6666666666666666	0.44	0.5301204819277109	22	11	0	28
9	104.16.123.96	Europe_countries_5	1	20.0	0	0.3770491803278688	0.6764705882352942	0.46	0.5476190476190477	23	11	0	27
10	104.16.123.96	Europe_countries_5	1	30.0	0	0.3770491803278688	0.6764705882352942	0.46	0.5476190476190477	23	11	0	27
