	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
22	192.36.148.17	North-Central_100	1	-1.0	0	0.4074074074074074	0.7857142857142857	0.4583333333333333	0.5789473684210527	11	3	0	13
13	192.36.148.17	North-Central_100	1	1.0	0	0.08333333333333333	1.0	0.08333333333333333	0.15384615384615385	2	0	0	22
2	192.36.148.17	North-Central_100	1	5.0	0	0.375	1.0	0.375	0.5454545454545454	9	0	0	15
11	192.36.148.17	North-Central_100	1	10.0	0	0.38461538461538464	0.8333333333333334	0.4166666666666667	0.5555555555555556	10	2	0	14
16	192.36.148.17	North-Central_100	1	20.0	0	0.4074074074074074	0.7857142857142857	0.4583333333333333	0.5789473684210527	11	3	0	13
1	192.36.148.17	North-Central_100	1	30.0	0	0.4074074074074074	0.7857142857142857	0.4583333333333333	0.5789473684210527	11	3	0	13
4	192.36.148.17	North-Central_1000	1	-1.0	0	0.4888888888888889	0.5116279069767442	0.9166666666666666	0.6567164179104478	22	21	0	2
3	192.36.148.17	North-Central_1000	1	1.0	0	0.4583333333333333	1.0	0.4583333333333333	0.6285714285714286	11	0	0	13
18	192.36.148.17	North-Central_1000	1	5.0	0	0.5526315789473685	0.6	0.875	0.711864406779661	21	14	0	3
15	192.36.148.17	North-Central_1000	1	10.0	0	0.55	0.5789473684210527	0.9166666666666666	0.7096774193548387	22	16	0	2
6	192.36.148.17	North-Central_1000	1	20.0	0	0.4888888888888889	0.5116279069767442	0.9166666666666666	0.6567164179104478	22	21	0	2
17	192.36.148.17	North-Central_1000	1	30.0	0	0.4888888888888889	0.5116279069767442	0.9166666666666666	0.6567164179104478	22	21	0	2
9	192.36.148.17	North-Central_300	1	-1.0	0	0.3888888888888889	0.5185185185185185	0.6086956521739131	0.5599999999999999	14	13	0	9
8	192.36.148.17	North-Central_300	1	1.0	0	0.08695652173913043	1.0	0.08695652173913043	0.16	2	0	0	21
12	192.36.148.17	North-Central_300	1	5.0	0	0.5185185185185185	0.7777777777777778	0.6086956521739131	0.6829268292682927	14	4	0	9
7	192.36.148.17	North-Central_300	1	10.0	0	0.42424242424242425	0.5833333333333334	0.6086956521739131	0.5957446808510638	14	10	0	9
20	192.36.148.17	North-Central_300	1	20.0	0	0.4	0.5384615384615384	0.6086956521739131	0.5714285714285715	14	12	0	9
23	192.36.148.17	North-Central_300	1	30.0	0	0.3888888888888889	0.5185185185185185	0.6086956521739131	0.5599999999999999	14	13	0	9
5	192.36.148.17	North-Central_500	1	-1.0	0	0.5526315789473685	0.6	0.875	0.711864406779661	21	14	0	3
14	192.36.148.17	North-Central_500	1	1.0	0	0.24	0.8571428571428571	0.25	0.3870967741935483	6	1	0	18
0	192.36.148.17	North-Central_500	1	5.0	0	0.7241379310344828	0.8076923076923077	0.875	0.8400000000000001	21	5	0	3
21	192.36.148.17	North-Central_500	1	10.0	0	0.6176470588235294	0.6774193548387096	0.875	0.7636363636363636	21	10	0	3
10	192.36.148.17	North-Central_500	1	20.0	0	0.5526315789473685	0.6	0.875	0.711864406779661	21	14	0	3
19	192.36.148.17	North-Central_500	1	30.0	0	0.5526315789473685	0.6	0.875	0.711864406779661	21	14	0	3
