	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
0	199.7.83.42	North-Central-section_1	0.0	-1	0	0.21212121212121213	0.358974358974359	0.34146341463414637	0.35000000000000003	14	25	0	27
24	199.7.83.42	North-Central-section_1	0.1	-1	0	0.234375	0.40540540540540543	0.35714285714285715	0.379746835443038	15	22	0	27
6	199.7.83.42	North-Central-section_1	0.2	-1	0	0.29508196721311475	0.4864864864864865	0.42857142857142855	0.4556962025316456	18	19	0	24
30	199.7.83.42	North-Central-section_1	0.3	-1	0	0.3508771929824561	0.5714285714285714	0.47619047619047616	0.5194805194805195	20	15	0	22
3	199.7.83.42	North-Central-section_1	0.4	-1	0	0.3508771929824561	0.5714285714285714	0.47619047619047616	0.5194805194805195	20	15	0	22
25	199.7.83.42	North-Central-section_1	0.5	-1	0	0.35714285714285715	0.5882352941176471	0.47619047619047616	0.5263157894736842	20	14	0	22
5	199.7.83.42	North-Central-section_1	0.6	-1	0	0.3333333333333333	0.5588235294117647	0.4523809523809524	0.5	19	15	0	23
31	199.7.83.42	North-Central-section_1	0.7	-1	0	0.3333333333333333	0.5588235294117647	0.4523809523809524	0.5	19	15	0	23
20	199.7.83.42	North-Central-section_1	0.8	-1	0	0.35714285714285715	0.5882352941176471	0.47619047619047616	0.5263157894736842	20	14	0	22
19	199.7.83.42	North-Central-section_1	0.9	-1	0	0.3333333333333333	0.5588235294117647	0.4523809523809524	0.5	19	15	0	23
32	199.7.83.42	North-Central-section_1	1.0	-1	0	0.3333333333333333	0.5588235294117647	0.4523809523809524	0.5	19	15	0	23
13	199.7.83.42	North-Central-section_1.5	0.0	-1	0	0.2857142857142857	0.5161290322580645	0.3902439024390244	0.4444444444444444	16	15	0	25
18	199.7.83.42	North-Central-section_1.5	0.1	-1	0	0.30357142857142855	0.53125	0.4146341463414634	0.4657534246575343	17	15	0	24
11	199.7.83.42	North-Central-section_1.5	0.2	-1	0	0.32727272727272727	0.5625	0.43902439024390244	0.4931506849315069	18	14	0	23
10	199.7.83.42	North-Central-section_1.5	0.3	-1	0	0.38461538461538464	0.6451612903225806	0.4878048780487805	0.5555555555555556	20	11	0	21
4	199.7.83.42	North-Central-section_1.5	0.4	-1	0	0.37735849056603776	0.625	0.4878048780487805	0.547945205479452	20	12	0	21
9	199.7.83.42	North-Central-section_1.5	0.5	-1	0	0.39622641509433965	0.6363636363636364	0.5121951219512195	0.5675675675675675	21	12	0	20
22	199.7.83.42	North-Central-section_1.5	0.6	-1	0	0.39622641509433965	0.6363636363636364	0.5121951219512195	0.5675675675675675	21	12	0	20
26	199.7.83.42	North-Central-section_1.5	0.7	-1	0	0.39622641509433965	0.6363636363636364	0.5121951219512195	0.5675675675675675	21	12	0	20
28	199.7.83.42	North-Central-section_1.5	0.8	-1	0	0.39622641509433965	0.6363636363636364	0.5121951219512195	0.5675675675675675	21	12	0	20
15	199.7.83.42	North-Central-section_1.5	0.9	-1	0	0.39622641509433965	0.6363636363636364	0.5121951219512195	0.5675675675675675	21	12	0	20
23	199.7.83.42	North-Central-section_1.5	1.0	-1	0	0.39622641509433965	0.6363636363636364	0.5121951219512195	0.5675675675675675	21	12	0	20
1	199.7.83.42	North-Central-section_2	0.0	-1	0	0.125	0.25806451612903225	0.1951219512195122	0.2222222222222222	8	23	0	33
21	199.7.83.42	North-Central-section_2	0.1	-1	0	0.16666666666666666	0.3448275862068966	0.24390243902439024	0.2857142857142857	10	19	0	31
14	199.7.83.42	North-Central-section_2	0.2	-1	0	0.23214285714285715	0.4642857142857143	0.3170731707317073	0.3768115942028986	13	15	0	28
7	199.7.83.42	North-Central-section_2	0.3	-1	0	0.24074074074074073	0.5	0.3170731707317073	0.38805970149253727	13	13	0	28
12	199.7.83.42	North-Central-section_2	0.4	-1	0	0.2830188679245283	0.5555555555555556	0.36585365853658536	0.4411764705882353	15	12	0	26
2	199.7.83.42	North-Central-section_2	0.5	-1	0	0.3076923076923077	0.5925925925925926	0.3902439024390244	0.47058823529411764	16	11	0	25
8	199.7.83.42	North-Central-section_2	0.6	-1	0	0.2830188679245283	0.5555555555555556	0.36585365853658536	0.4411764705882353	15	12	0	26
27	199.7.83.42	North-Central-section_2	0.7	-1	0	0.2830188679245283	0.5555555555555556	0.36585365853658536	0.4411764705882353	15	12	0	26
16	199.7.83.42	North-Central-section_2	0.8	-1	0	0.2830188679245283	0.5555555555555556	0.36585365853658536	0.4411764705882353	15	12	0	26
17	199.7.83.42	North-Central-section_2	0.9	-1	0	0.25925925925925924	0.5185185185185185	0.34146341463414637	0.411764705882353	14	13	0	27
29	199.7.83.42	North-Central-section_2	1.0	-1	0	0.25925925925925924	0.5185185185185185	0.34146341463414637	0.411764705882353	14	13	0	27
