	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
26	192.36.148.17	North-Central_100	0.0	-1	0	0.16666666666666666	0.45454545454545453	0.20833333333333334	0.28571428571428575	5	6	0	19
39	192.36.148.17	North-Central_100	0.1	-1	0	0.16666666666666666	0.45454545454545453	0.20833333333333334	0.28571428571428575	5	6	0	19
24	192.36.148.17	North-Central_100	0.2	-1	0	0.20689655172413793	0.5454545454545454	0.25	0.34285714285714286	6	5	0	18
27	192.36.148.17	North-Central_100	0.3	-1	0	0.20689655172413793	0.5454545454545454	0.25	0.34285714285714286	6	5	0	18
18	192.36.148.17	North-Central_100	0.4	-1	0	0.2962962962962963	0.7272727272727273	0.3333333333333333	0.4571428571428572	8	3	0	16
23	192.36.148.17	North-Central_100	0.5	-1	0	0.34615384615384615	0.8181818181818182	0.375	0.5142857142857142	9	2	0	15
28	192.36.148.17	North-Central_100	0.6	-1	0	0.34615384615384615	0.8181818181818182	0.375	0.5142857142857142	9	2	0	15
41	192.36.148.17	North-Central_100	0.7	-1	0	0.34615384615384615	0.8181818181818182	0.375	0.5142857142857142	9	2	0	15
37	192.36.148.17	North-Central_100	0.8	-1	0	0.34615384615384615	0.8181818181818182	0.375	0.5142857142857142	9	2	0	15
1	192.36.148.17	North-Central_100	0.9	-1	0	0.34615384615384615	0.8181818181818182	0.375	0.5142857142857142	9	2	0	15
40	192.36.148.17	North-Central_100	1.0	-1	0	0.34615384615384615	0.8181818181818182	0.375	0.5142857142857142	9	2	0	15
3	192.36.148.17	North-Central_1000	0.0	-1	0	0.8076923076923077	0.9130434782608695	0.875	0.8936170212765957	21	2	0	3
32	192.36.148.17	North-Central_1000	0.1	-1	0	0.8076923076923077	0.9130434782608695	0.875	0.8936170212765957	21	2	0	3
13	192.36.148.17	North-Central_1000	0.2	-1	0	0.7777777777777778	0.875	0.875	0.875	21	3	0	3
30	192.36.148.17	North-Central_1000	0.3	-1	0	0.7777777777777778	0.875	0.875	0.875	21	3	0	3
4	192.36.148.17	North-Central_1000	0.4	-1	0	0.8076923076923077	0.9130434782608695	0.875	0.8936170212765957	21	2	0	3
8	192.36.148.17	North-Central_1000	0.5	-1	0	0.8076923076923077	0.9130434782608695	0.875	0.8936170212765957	21	2	0	3
