	target	probes_filename	alpha	threshold	noise	accuracy	precision	recall	f1	TP	FP	TN	FN
9	192.33.4.12	North-Central-section_1	1	-1.0	0	0.25	0.25	1.0	0.4	4	12	0	0
11	192.33.4.12	North-Central-section_1	1	5.0	0	1.0	1.0	1.0	1.0	4	0	0	0
1	192.33.4.12	North-Central-section_1	1	10.0	0	0.5	0.5	1.0	0.6666666666666666	4	4	0	0
2	192.33.4.12	North-Central-section_1	1	20.0	0	0.3076923076923077	0.3076923076923077	1.0	0.47058823529411764	4	9	0	0
7	192.33.4.12	North-Central-section_1	1	30.0	0	0.26666666666666666	0.26666666666666666	1.0	0.4210526315789474	4	11	0	0
14	192.33.4.12	North-Central-section_1.5	1	-1.0	0	0.3333333333333333	0.3333333333333333	1.0	0.5	4	8	0	0
4	192.33.4.12	North-Central-section_1.5	1	5.0	0	0.75	1.0	0.75	0.8571428571428571	3	0	0	1
8	192.33.4.12	North-Central-section_1.5	1	10.0	0	1.0	1.0	1.0	1.0	4	0	0	0
10	192.33.4.12	North-Central-section_1.5	1	20.0	0	0.4	0.4	1.0	0.5714285714285715	4	6	0	0
6	192.33.4.12	North-Central-section_1.5	1	30.0	0	0.3333333333333333	0.3333333333333333	1.0	0.5	4	8	0	0
0	192.33.4.12	North-Central-section_2	1	-1.0	0	0.21428571428571427	0.23076923076923078	0.75	0.3529411764705882	3	10	0	1
12	192.33.4.12	North-Central-section_2	1	5.0	0	0.6	0.75	0.75	0.75	3	1	0	1
3	192.33.4.12	North-Central-section_2	1	10.0	0	0.375	0.42857142857142855	0.75	0.5454545454545454	3	4	0	1
5	192.33.4.12	North-Central-section_2	1	20.0	0	0.2727272727272727	0.3	0.75	0.4285714285714285	3	7	0	1
13	192.33.4.12	North-Central-section_2	1	30.0	0	0.23076923076923078	0.25	0.75	0.375	3	9	0	1
